Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
2016,Work Experience by Education,Not Working,Kindergarten,"Baltimore City, Maryland","15,584",,"15,584",,
2016,Work Experience by Education,Not Working,Grade 1,"Baltimore City, Maryland","15,247",,"15,247",,
2016,Work Experience by Education,Not Working,Grade 2,"Baltimore City, Maryland","15,747",,"15,747",,
2016,Work Experience by Education,Not Working,Grade 3,"Baltimore City, Maryland","13,897",,"13,897",,
2016,Work Experience by Education,Not Working,Grade 4,"Baltimore City, Maryland","15,949",,"15,949",,
2016,Work Experience by Education,Not Working,Grade 5,"Baltimore City, Maryland","15,184",,"15,184",,
2016,Work Experience by Education,Not Working,Grade 6,"Baltimore City, Maryland","16,311",,"16,311",,
2016,Work Experience by Education,Not Working,Grade 7,"Baltimore City, Maryland","16,704",,"16,704",,
2016,Work Experience by Education,Not Working,Grade 8,"Baltimore City, Maryland","23,933",,"23,933",,
2016,Work Experience by Education,Not Working,Grade 9,"Baltimore City, Maryland","23,399",,"23,399",,
2016,Work Experience by Education,Not Working,Grade 10,"Baltimore City, Maryland","29,528",,"29,528",,
2016,Work Experience by Education,Not Working,Grade 11,"Baltimore City, Maryland","29,796",,"29,796",,
2016,Work Experience by Education,Not Working,Grade 12,"Baltimore City, Maryland","11,481",,"11,481",,
2016,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore City, Maryland","104,825",,"104,825",,
2016,Work Experience by Education,Not Working,GED,"Baltimore City, Maryland","22,557",,"22,557",,
2016,Work Experience by Education,Not Working,Some College,"Baltimore City, Maryland","19,908",,"19,908",,
2016,Work Experience by Education,Not Working,1 or more,"Baltimore City, Maryland","56,190",,"56,190",,
2016,Work Experience by Education,Not Working,Associate,"Baltimore City, Maryland","15,680",,"15,680",,
2016,Work Experience by Education,Not Working,Bachlor's,"Baltimore City, Maryland","24,459",,"24,459",,
2016,Work Experience by Education,Not Working,Master's,"Baltimore City, Maryland","11,948",,"11,948",,
2016,Work Experience by Education,Not Working,Professional,"Baltimore City, Maryland","2,877",,"2,877",,
2016,Work Experience by Education,Not Working,Doctoral,"Baltimore City, Maryland","2,285",,"2,285",,
2016,Work Experience by Education,Part Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,No School,"Baltimore City, Maryland",933,,933,,
2016,Work Experience by Education,Part Time,Nursery,"Baltimore City, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Kindergarten,"Baltimore City, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Grade 1,"Baltimore City, Maryland",0,, -   ,,
2016,Work Experience by Education,Part Time,Grade 2,"Baltimore City, Maryland",206,,206,,
2016,Work Experience by Education,Part Time,Grade 3,"Baltimore City, Maryland",387,,387,,
2016,Work Experience by Education,Part Time,Grade 4,"Baltimore City, Maryland",240,,240,,
2016,Work Experience by Education,Part Time,Grade 5,"Baltimore City, Maryland",72,,72,,
2016,Work Experience by Education,Part Time,Grade 6,"Baltimore City, Maryland",161,,161,,
2016,Work Experience by Education,Part Time,Grade 7,"Baltimore City, Maryland",157,,157,,
2016,Work Experience by Education,Part Time,Grade 8,"Baltimore City, Maryland",673,,673,,
2016,Work Experience by Education,Part Time,Grade 9,"Baltimore City, Maryland","2,239",,"2,239",,
2016,Work Experience by Education,Part Time,Grade 10,"Baltimore City, Maryland","4,410",,"4,410",,
2016,Work Experience by Education,Part Time,Grade 11,"Baltimore City, Maryland","3,970",,"3,970",,
2016,Work Experience by Education,Part Time,Grade 12,"Baltimore City, Maryland","1,440",,"1,440",,
2016,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore City, Maryland","25,043",,"25,043",,
2016,Work Experience by Education,Part Time,GED,"Baltimore City, Maryland","5,357",,"5,357",,
2016,Work Experience by Education,Part Time,Some College,"Baltimore City, Maryland","5,609",,"5,609",,
2016,Work Experience by Education,Part Time,1 or more,"Baltimore City, Maryland","19,154",,"19,154",,
2016,Work Experience by Education,Part Time,Associate,"Baltimore City, Maryland","3,671",,"3,671",,
2016,Work Experience by Education,Part Time,Bachlor's,"Baltimore City, Maryland","12,851",,"12,851",,
2016,Work Experience by Education,Part Time,Master's,"Baltimore City, Maryland","5,222",,"5,222",,
2016,Work Experience by Education,Part Time,Professional,"Baltimore City, Maryland","1,352",,"1,352",,
2016,Work Experience by Education,Part Time,Doctoral,"Baltimore City, Maryland","1,187",,"1,187",,
2016,Work Experience by Education,Full Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2016,Work Experience by Education,Full Time,No School,"Baltimore City, Maryland","5,126",,"5,126",,
2016,Work Experience by Education,Full Time,Nursery,"Baltimore City, Maryland",106,,106,,
2016,Work Experience by Education,Full Time,Kindergarten,"Baltimore City, Maryland",281,,281,,
2016,Work Experience by Education,Full Time,Grade 1,"Baltimore City, Maryland",703,,703,,
2016,Work Experience by Education,Full Time,Grade 2,"Baltimore City, Maryland",367,,367,,
2016,Work Experience by Education,Full Time,Grade 3,"Baltimore City, Maryland",789,,789,,
2016,Work Experience by Education,Full Time,Grade 4,"Baltimore City, Maryland",333,,333,,
2016,Work Experience by Education,Full Time,Grade 5,"Baltimore City, Maryland",622,,622,,
2016,Work Experience by Education,Full Time,Grade 6,"Baltimore City, Maryland","2,367",,"2,367",,
2016,Work Experience by Education,Full Time,Grade 7,"Baltimore City, Maryland",722,,722,,
2016,Work Experience by Education,Full Time,Grade 8,"Baltimore City, Maryland","3,639",,"3,639",,
2016,Work Experience by Education,Full Time,Grade 9,"Baltimore City, Maryland","4,924",,"4,924",,
2016,Work Experience by Education,Full Time,Grade 10,"Baltimore City, Maryland","9,403",,"9,403",,
2016,Work Experience by Education,Full Time,Grade 11,"Baltimore City, Maryland","10,655",,"10,655",,
2016,Work Experience by Education,Full Time,Grade 12,"Baltimore City, Maryland","6,554",,"6,554",,
2016,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore City, Maryland","116,499",,"116,499",,
2016,Work Experience by Education,Full Time,GED,"Baltimore City, Maryland","18,769",,"18,769",,
2016,Work Experience by Education,Full Time,Some College,"Baltimore City, Maryland","24,509",,"24,509",,
2016,Work Experience by Education,Full Time,1 or more,"Baltimore City, Maryland","85,598",,"85,598",,
2016,Work Experience by Education,Full Time,Associate,"Baltimore City, Maryland","25,950",,"25,950",,
2016,Work Experience by Education,Full Time,Bachlor's,"Baltimore City, Maryland","117,796",,"117,796",,
2016,Work Experience by Education,Full Time,Master's,"Baltimore City, Maryland","61,357",,"61,357",,
2016,Work Experience by Education,Full Time,Professional,"Baltimore City, Maryland","21,288",,"21,288",,
2016,Work Experience by Education,Full Time,Doctoral,"Baltimore City, Maryland","12,748",,"12,748",,
2016,Work Experience by Poverty,Not Working,0-25,"Baltimore City, Maryland","99,087",,"99,087",,
2016,Work Experience by Poverty,Not Working,26-50,"Baltimore City, Maryland","37,978",,"37,978",,
2016,Work Experience by Poverty,Not Working,51-75,"Baltimore City, Maryland","52,774",,"52,774",,
2016,Work Experience by Poverty,Not Working,76-100,"Baltimore City, Maryland","48,898",,"48,898",,
2016,Work Experience by Poverty,Not Working,100-500,"Baltimore City, Maryland","312,758",,"312,758",,
2016,Work Experience by Poverty,Not Working,501,"Baltimore City, Maryland","59,084",,"59,084",,
2016,Work Experience by Poverty,Part Time,0-25,"Baltimore City, Maryland","13,809",,"13,809",,
2016,Work Experience by Poverty,Part Time,26-50,"Baltimore City, Maryland","5,329",,"5,329",,
2016,Work Experience by Poverty,Part Time,51-75,"Baltimore City, Maryland","6,698",,"6,698",,
2016,Work Experience by Poverty,Part Time,76-100,"Baltimore City, Maryland","5,544",,"5,544",,
2016,Work Experience by Poverty,Part Time,100-500,"Baltimore City, Maryland","52,444",,"52,444",,
2016,Work Experience by Poverty,Part Time,501,"Baltimore City, Maryland","10,510",,"10,510",,
2016,Work Experience by Poverty,Full Time,0-25,"Baltimore City, Maryland","9,477",,"9,477",,
2016,Work Experience by Poverty,Full Time,26-50,"Baltimore City, Maryland","8,160",,"8,160",,
2016,Work Experience by Poverty,Full Time,51-75,"Baltimore City, Maryland","9,252",,"9,252",,
2016,Work Experience by Poverty,Full Time,76-100,"Baltimore City, Maryland","11,198",,"11,198",,
2016,Work Experience by Poverty,Full Time,100-500,"Baltimore City, Maryland","325,137",,"325,137",,
2016,Work Experience by Poverty,Full Time,501,"Baltimore City, Maryland","167,881",,"167,881",,
2017,Work Experience by Gender,Not Working,Male,"Baltimore City, Maryland","282,754",,"282,754",,
2017,Work Experience by Gender,Part Time,Male,"Baltimore City, Maryland","40,035",,"40,035",,
2017,Work Experience by Gender,Full Time,Male,"Baltimore City, Maryland","255,895",,"255,895",,
2017,Work Experience by Gender,Not Working,Female,"Baltimore City, Maryland","329,438",,"329,438",,
2017,Work Experience by Gender,Part Time,Female,"Baltimore City, Maryland","55,197",,"55,197",,
2017,Work Experience by Gender,Full Time,Female,"Baltimore City, Maryland","268,072",,"268,072",,
2017,Work Experience by Race,Not Working,White,"Baltimore City, Maryland","145,342",,"145,342",,
2017,Work Experience by Race,Not Working,Black,"Baltimore City, Maryland","428,205",,"428,205",,
2017,Work Experience by Race,Not Working,American,"Baltimore City, Maryland","2,577",,"2,577",,
2017,Work Experience by Race,Not Working,Chinese,"Baltimore City, Maryland","4,155",,"4,155",,
2017,Work Experience by Race,Not Working,Japanese,"Baltimore City, Maryland",241,,241,,
2017,Work Experience by Race,Not Working,Other Asian,"Baltimore City, Maryland","8,535",,"8,535",,
2017,Work Experience by Race,Not Working,Other Race,"Baltimore City, Maryland","7,787",,"7,787",,
2017,Work Experience by Race,Not Working,Two Major Races,"Baltimore City, Maryland","12,529",,"12,529",,
2017,Work Experience by Race,Not Working,Three or More,"Baltimore City, Maryland","2,821",,"2,821",,
2017,Work Experience by Race,Part Time,White,"Baltimore City, Maryland","31,065",,"31,065",,
2017,Work Experience by Race,Part Time,Black,"Baltimore City, Maryland","56,807",,"56,807",,
2017,Work Experience by Race,Part Time,American,"Baltimore City, Maryland",187,,187,,
2017,Work Experience by Race,Part Time,Chinese,"Baltimore City, Maryland",365,,365,,
2017,Work Experience by Race,Part Time,Japanese,"Baltimore City, Maryland",184,,184,,
2017,Work Experience by Race,Part Time,Other Asian,"Baltimore City, Maryland","2,547",,"2,547",,
2017,Work Experience by Race,Part Time,Other Race,"Baltimore City, Maryland","1,672",,"1,672",,
2017,Work Experience by Race,Part Time,Two Major Races,"Baltimore City, Maryland","2,005",,"2,005",,
2017,Work Experience by Race,Part Time,Three or More,"Baltimore City, Maryland",400,,400,,
2017,Work Experience by Race,Full Time,White,"Baltimore City, Maryland","196,249",,"196,249",,
2017,Work Experience by Race,Full Time,Black,"Baltimore City, Maryland","289,222",,"289,222",,
2017,Work Experience by Race,Full Time,American,"Baltimore City, Maryland","1,721",,"1,721",,
2017,Work Experience by Race,Full Time,Chinese,"Baltimore City, Maryland","3,117",,"3,117",,
2017,Work Experience by Race,Full Time,Japanese,"Baltimore City, Maryland",179,,179,,
2017,Work Experience by Race,Full Time,Other Asian,"Baltimore City, Maryland","13,266",,"13,266",,
2017,Work Experience by Race,Full Time,Other Race,"Baltimore City, Maryland","10,363",,"10,363",,
2017,Work Experience by Race,Full Time,Two Major Races,"Baltimore City, Maryland","8,217",,"8,217",,
2017,Work Experience by Race,Full Time,Three or More,"Baltimore City, Maryland","1,633",,"1,633",,
2017,Work Experience by Education,Not Working,N/A,"Baltimore City, Maryland","45,639",,"45,639",,
2017,Work Experience by Education,Not Working,No School,"Baltimore City, Maryland","39,824",,"39,824",,
2017,Work Experience by Education,Not Working,Nursery,"Baltimore City, Maryland","19,473",,"19,473",,
2017,Work Experience by Education,Not Working,Kindergarten,"Baltimore City, Maryland","14,460",,"14,460",,
2017,Work Experience by Education,Not Working,Grade 1,"Baltimore City, Maryland","14,440",,"14,440",,
2017,Work Experience by Education,Not Working,Grade 2,"Baltimore City, Maryland","16,012",,"16,012",,
2017,Work Experience by Education,Not Working,Grade 3,"Baltimore City, Maryland","16,711",,"16,711",,
2017,Work Experience by Education,Not Working,Grade 4,"Baltimore City, Maryland","14,229",,"14,229",,
2017,Work Experience by Education,Not Working,Grade 5,"Baltimore City, Maryland","15,638",,"15,638",,
2017,Work Experience by Education,Not Working,Grade 6,"Baltimore City, Maryland","16,035",,"16,035",,
2017,Work Experience by Education,Not Working,Grade 7,"Baltimore City, Maryland","14,415",,"14,415",,
2017,Work Experience by Education,Not Working,Grade 8,"Baltimore City, Maryland","24,837",,"24,837",,
2017,Work Experience by Education,Not Working,Grade 9,"Baltimore City, Maryland","22,237",,"22,237",,
2017,Work Experience by Education,Not Working,Grade 10,"Baltimore City, Maryland","32,042",,"32,042",,
2017,Work Experience by Education,Not Working,Grade 11,"Baltimore City, Maryland","31,332",,"31,332",,
2017,Work Experience by Education,Not Working,Grade 12,"Baltimore City, Maryland","11,036",,"11,036",,
2017,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore City, Maryland","101,914",,"101,914",,
2017,Work Experience by Education,Not Working,GED,"Baltimore City, Maryland","19,356",,"19,356",,
2017,Work Experience by Education,Not Working,Some College,"Baltimore City, Maryland","21,996",,"21,996",,
2017,Work Experience by Education,Not Working,1 or more,"Baltimore City, Maryland","61,870",,"61,870",,
2017,Work Experience by Education,Not Working,Associate,"Baltimore City, Maryland","12,872",,"12,872",,
2017,Work Experience by Education,Not Working,Bachlor's,"Baltimore City, Maryland","27,261",,"27,261",,
2017,Work Experience by Education,Not Working,Master's,"Baltimore City, Maryland","12,652",,"12,652",,
2017,Work Experience by Education,Not Working,Professional,"Baltimore City, Maryland","3,037",,"3,037",,
2017,Work Experience by Education,Not Working,Doctoral,"Baltimore City, Maryland","2,874",,"2,874",,
2017,Work Experience by Education,Part Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,No School,"Baltimore City, Maryland",748,,748,,
2017,Work Experience by Education,Part Time,Nursery,"Baltimore City, Maryland",164,,164,,
2017,Work Experience by Education,Part Time,Kindergarten,"Baltimore City, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,Grade 1,"Baltimore City, Maryland",0,, -   ,,
2017,Work Experience by Education,Part Time,Grade 2,"Baltimore City, Maryland",40,,40,,
2017,Work Experience by Education,Part Time,Grade 3,"Baltimore City, Maryland",74,,74,,
2017,Work Experience by Education,Part Time,Grade 4,"Baltimore City, Maryland",41,,41,,
2017,Work Experience by Education,Part Time,Grade 5,"Baltimore City, Maryland",28,,28,,
2017,Work Experience by Education,Part Time,Grade 6,"Baltimore City, Maryland",137,,137,,
2017,Work Experience by Education,Part Time,Grade 7,"Baltimore City, Maryland",398,,398,,
2017,Work Experience by Education,Part Time,Grade 8,"Baltimore City, Maryland",660,,660,,
2017,Work Experience by Education,Part Time,Grade 9,"Baltimore City, Maryland","2,192",,"2,192",,
2017,Work Experience by Education,Part Time,Grade 10,"Baltimore City, Maryland","3,076",,"3,076",,
2017,Work Experience by Education,Part Time,Grade 11,"Baltimore City, Maryland","5,562",,"5,562",,
2017,Work Experience by Education,Part Time,Grade 12,"Baltimore City, Maryland","2,235",,"2,235",,
2017,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore City, Maryland","23,069",,"23,069",,
2017,Work Experience by Education,Part Time,GED,"Baltimore City, Maryland","3,344",,"3,344",,
2017,Work Experience by Education,Part Time,Some College,"Baltimore City, Maryland","5,931",,"5,931",,
2017,Work Experience by Education,Part Time,1 or more,"Baltimore City, Maryland","17,685",,"17,685",,
2017,Work Experience by Education,Part Time,Associate,"Baltimore City, Maryland","4,629",,"4,629",,
2017,Work Experience by Education,Part Time,Bachlor's,"Baltimore City, Maryland","13,655",,"13,655",,
2017,Work Experience by Education,Part Time,Master's,"Baltimore City, Maryland","7,623",,"7,623",,
2017,Work Experience by Education,Part Time,Professional,"Baltimore City, Maryland","2,334",,"2,334",,
2017,Work Experience by Education,Part Time,Doctoral,"Baltimore City, Maryland","1,607",,"1,607",,
2017,Work Experience by Education,Full Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2017,Work Experience by Education,Full Time,No School,"Baltimore City, Maryland","4,974",,"4,974",,
2017,Work Experience by Education,Full Time,Nursery,"Baltimore City, Maryland",95,,95,,
2017,Work Experience by Education,Full Time,Kindergarten,"Baltimore City, Maryland",120,,120,,
2017,Work Experience by Education,Full Time,Grade 1,"Baltimore City, Maryland",202,,202,,
2017,Work Experience by Education,Full Time,Grade 2,"Baltimore City, Maryland",83,,83,,
2017,Work Experience by Education,Full Time,Grade 3,"Baltimore City, Maryland",263,,263,,
2017,Work Experience by Education,Full Time,Grade 4,"Baltimore City, Maryland","1,045",,"1,045",,
2017,Work Experience by Education,Full Time,Grade 5,"Baltimore City, Maryland",394,,394,,
2017,Work Experience by Education,Full Time,Grade 6,"Baltimore City, Maryland","2,128",,"2,128",,
2017,Work Experience by Education,Full Time,Grade 7,"Baltimore City, Maryland","1,363",,"1,363",,
2017,Work Experience by Education,Full Time,Grade 8,"Baltimore City, Maryland","2,528",,"2,528",,
2017,Work Experience by Education,Full Time,Grade 9,"Baltimore City, Maryland","5,359",,"5,359",,
2017,Work Experience by Education,Full Time,Grade 10,"Baltimore City, Maryland","8,387",,"8,387",,
2017,Work Experience by Education,Full Time,Grade 11,"Baltimore City, Maryland","9,805",,"9,805",,
2017,Work Experience by Education,Full Time,Grade 12,"Baltimore City, Maryland","8,716",,"8,716",,
2017,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore City, Maryland","119,120",,"119,120",,
2017,Work Experience by Education,Full Time,GED,"Baltimore City, Maryland","19,970",,"19,970",,
2017,Work Experience by Education,Full Time,Some College,"Baltimore City, Maryland","24,021",,"24,021",,
2017,Work Experience by Education,Full Time,1 or more,"Baltimore City, Maryland","84,433",,"84,433",,
2017,Work Experience by Education,Full Time,Associate,"Baltimore City, Maryland","26,672",,"26,672",,
2017,Work Experience by Education,Full Time,Bachlor's,"Baltimore City, Maryland","106,344",,"106,344",,
2017,Work Experience by Education,Full Time,Master's,"Baltimore City, Maryland","61,963",,"61,963",,
2017,Work Experience by Education,Full Time,Professional,"Baltimore City, Maryland","20,375",,"20,375",,
2017,Work Experience by Education,Full Time,Doctoral,"Baltimore City, Maryland","15,607",,"15,607",,
2017,Work Experience by Poverty,Not Working,0-25,"Baltimore City, Maryland","104,167",,"104,167",,
2017,Work Experience by Poverty,Not Working,26-50,"Baltimore City, Maryland","43,107",,"43,107",,
2017,Work Experience by Poverty,Not Working,51-75,"Baltimore City, Maryland","51,049",,"51,049",,
2017,Work Experience by Poverty,Not Working,76-100,"Baltimore City, Maryland","51,770",,"51,770",,
2017,Work Experience by Poverty,Not Working,100-500,"Baltimore City, Maryland","293,828",,"293,828",,
2017,Work Experience by Poverty,Not Working,501,"Baltimore City, Maryland","68,271",,"68,271",,
2017,Work Experience by Poverty,Part Time,0-25,"Baltimore City, Maryland","10,894",,"10,894",,
2017,Work Experience by Poverty,Part Time,26-50,"Baltimore City, Maryland","6,038",,"6,038",,
2017,Work Experience by Poverty,Part Time,51-75,"Baltimore City, Maryland","6,325",,"6,325",,
2017,Work Experience by Poverty,Part Time,76-100,"Baltimore City, Maryland","5,570",,"5,570",,
2017,Work Experience by Poverty,Part Time,100-500,"Baltimore City, Maryland","50,897",,"50,897",,
2017,Work Experience by Poverty,Part Time,501,"Baltimore City, Maryland","15,508",,"15,508",,
2017,Work Experience by Poverty,Full Time,0-25,"Baltimore City, Maryland","8,669",,"8,669",,
2017,Work Experience by Poverty,Full Time,26-50,"Baltimore City, Maryland","6,870",,"6,870",,
2017,Work Experience by Poverty,Full Time,51-75,"Baltimore City, Maryland","8,704",,"8,704",,
2017,Work Experience by Poverty,Full Time,76-100,"Baltimore City, Maryland","13,029",,"13,029",,
2017,Work Experience by Poverty,Full Time,100-500,"Baltimore City, Maryland","304,241",,"304,241",,
2017,Work Experience by Poverty,Full Time,501,"Baltimore City, Maryland","182,454",,"182,454",,
2016,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","64,128",,"64,128",,
2016,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","17,079",,"17,079",,
2016,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","20,623",,"20,623",,
2016,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","26,928",,"26,928",,
2016,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","424,395",,"424,395",,
2016,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,949",,"182,949",,
2016,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","16,766",,"16,766",,
2016,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","4,664",,"4,664",,
2016,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","3,870",,"3,870",,
2016,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","5,666",,"5,666",,
2016,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","69,925",,"69,925",,
2016,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,185",,"45,185",,
2016,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,130",,"9,130",,
2016,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","5,870",,"5,870",,
2016,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,052",,"6,052",,
2016,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","11,316",,"11,316",,
2016,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","377,150",,"377,150",,
2016,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","363,189",,"363,189",,
2017,Work Experience by Poverty,Not Working,0-25,"Baltimore County, Maryland","63,603",,"63,603",,
2017,Work Experience by Poverty,Not Working,26-50,"Baltimore County, Maryland","12,947",,"12,947",,
2017,Work Experience by Poverty,Not Working,51-75,"Baltimore County, Maryland","24,382",,"24,382",,
2017,Work Experience by Poverty,Not Working,76-100,"Baltimore County, Maryland","22,172",,"22,172",,
2017,Work Experience by Poverty,Not Working,100-500,"Baltimore County, Maryland","437,394",,"437,394",,
2017,Work Experience by Poverty,Not Working,501,"Baltimore County, Maryland","182,784",,"182,784",,
2017,Work Experience by Poverty,Part Time,0-25,"Baltimore County, Maryland","15,924",,"15,924",,
2017,Work Experience by Poverty,Part Time,26-50,"Baltimore County, Maryland","5,365",,"5,365",,
2017,Work Experience by Poverty,Part Time,51-75,"Baltimore County, Maryland","6,978",,"6,978",,
2017,Work Experience by Poverty,Part Time,76-100,"Baltimore County, Maryland","3,948",,"3,948",,
2017,Work Experience by Poverty,Part Time,100-500,"Baltimore County, Maryland","68,989",,"68,989",,
2017,Work Experience by Poverty,Part Time,501,"Baltimore County, Maryland","45,418",,"45,418",,
2017,Work Experience by Poverty,Full Time,0-25,"Baltimore County, Maryland","9,206",,"9,206",,
2017,Work Experience by Poverty,Full Time,26-50,"Baltimore County, Maryland","4,047",,"4,047",,
2017,Work Experience by Poverty,Full Time,51-75,"Baltimore County, Maryland","6,614",,"6,614",,
2017,Work Experience by Poverty,Full Time,76-100,"Baltimore County, Maryland","9,989",,"9,989",,
2017,Work Experience by Poverty,Full Time,100-500,"Baltimore County, Maryland","383,335",,"383,335",,
2017,Work Experience by Poverty,Full Time,501,"Baltimore County, Maryland","358,462",,"358,462",,
